- Starting heuristic -
TSP  Iteration:       0  49203
---- Iteration:       0  49203
TSP  Iteration:       2  47701
TSP  Iteration:      21  47268
TSP  Iteration:      22  46675
---- Iteration:     500  46675
---- Iteration:    1000  46675
---- Iteration:    1500  46675
---- Iteration:    2000  46675
---- Iteration:    2500  46675
---- Iteration:    3000  46675
---- Iteration:    3500  46675
---- Iteration:    4000  46675
---- Iteration:    4500  46675
TSP  Iteration:       0  46134
---- Iteration:       0  46134
---- Iteration:     500  46134
---- Iteration:    1000  46134
---- Iteration:    1500  46134
---- Iteration:    2000  46134
---- Iteration:    2500  46134
---- Iteration:    3000  46134
---- Iteration:    3500  46134
---- Iteration:    4000  46134
---- Iteration:    4500  46134
Feasible solution found

