- Starting heuristic -
TSP  Iteration:       0   3915
---- Iteration:       0   3915
---- Iteration:     500   3915
---- Iteration:    1000   3915
---- Iteration:    1500   3915
---- Iteration:    2000   3915
---- Iteration:    2500   3915
---- Iteration:    3000   3915
---- Iteration:    3500   3915
---- Iteration:    4000   3915
---- Iteration:    4500   3915
---- Iteration:       0   3915
---- Iteration:     500   3915
---- Iteration:    1000   3915
---- Iteration:    1500   3915
---- Iteration:    2000   3915
---- Iteration:    2500   3915
---- Iteration:    3000   3915
---- Iteration:    3500   3915
---- Iteration:    4000   3915
---- Iteration:    4500   3915
Feasible solution found

