- Starting heuristic -
TSP  Iteration:       0   6772
---- Iteration:       0   6772
TSP  Iteration:       2   6696
---- Iteration:     500   6696
---- Iteration:    1000   6696
---- Iteration:    1500   6696
---- Iteration:    2000   6696
---- Iteration:    2500   6696
---- Iteration:    3000   6696
---- Iteration:    3500   6696
---- Iteration:    4000   6696
---- Iteration:    4500   6696
---- Iteration:       0   6696
---- Iteration:     500   6696
---- Iteration:    1000   6696
---- Iteration:    1500   6696
---- Iteration:    2000   6696
---- Iteration:    2500   6696
---- Iteration:    3000   6696
---- Iteration:    3500   6696
---- Iteration:    4000   6696
---- Iteration:    4500   6696
Feasible solution found

