- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:       2   5488
---- Iteration:     500   5488
---- Iteration:    1000   5488
---- Iteration:    1500   5488
---- Iteration:    2000   5488
---- Iteration:    2500   5488
---- Iteration:    3000   5488
---- Iteration:    3500   5488
---- Iteration:    4000   5488
---- Iteration:    4500   5488
---- Iteration:       0   5488
---- Iteration:     500   5488
---- Iteration:    1000   5488
---- Iteration:    1500   5488
---- Iteration:    2000   5488
---- Iteration:    2500   5488
---- Iteration:    3000   5488
---- Iteration:    3500   5488
---- Iteration:    4000   5488
---- Iteration:    4500   5488
Feasible solution found

