- Starting heuristic -
TSP  Iteration:       0   5627
---- Iteration:       0   5627
TSP  Iteration:       2   5488
TSP  Iteration:      16   5100
---- Iteration:     500   5100
---- Iteration:    1000   5100
---- Iteration:    1500   5100
---- Iteration:    2000   5100
---- Iteration:    2500   5100
---- Iteration:    3000   5100
---- Iteration:    3500   5100
---- Iteration:    4000   5100
---- Iteration:    4500   5100
---- Iteration:       0   5100
---- Iteration:     500   5100
---- Iteration:    1000   5100
---- Iteration:    1500   5100
---- Iteration:    2000   5100
---- Iteration:    2500   5100
---- Iteration:    3000   5100
---- Iteration:    3500   5100
---- Iteration:    4000   5100
---- Iteration:    4500   5100
Feasible solution found

