- Starting heuristic -
TSP  Iteration:       0    190
---- Iteration:       0    190
---- Iteration:     500    190
---- Iteration:    1000    190
---- Iteration:    1500    190
---- Iteration:    2000    190
---- Iteration:    2500    190
---- Iteration:    3000    190
---- Iteration:    3500    190
---- Iteration:    4000    190
---- Iteration:    4500    190
---- Iteration:       0    190
---- Iteration:     500    190
---- Iteration:    1000    190
---- Iteration:    1500    190
---- Iteration:    2000    190
---- Iteration:    2500    190
---- Iteration:    3000    190
---- Iteration:    3500    190
---- Iteration:    4000    190
---- Iteration:    4500    190
Feasible solution found

