- Starting heuristic -
TSP  Iteration:       0   7340
---- Iteration:       0   7340
---- Iteration:     500   7340
---- Iteration:    1000   7340
---- Iteration:    1500   7340
---- Iteration:    2000   7340
---- Iteration:    2500   7340
---- Iteration:    3000   7340
---- Iteration:    3500   7340
---- Iteration:    4000   7340
---- Iteration:    4500   7340
---- Iteration:       0   7340
---- Iteration:     500   7340
---- Iteration:    1000   7340
---- Iteration:    1500   7340
---- Iteration:    2000   7340
---- Iteration:    2500   7340
---- Iteration:    3000   7340
---- Iteration:    3500   7340
---- Iteration:    4000   7340
---- Iteration:    4500   7340
Feasible solution found

