- Starting heuristic -
TSP  Iteration:       0  12699
---- Iteration:       0  12699
---- Iteration:     500  12699
---- Iteration:    1000  12699
---- Iteration:    1500  12699
---- Iteration:    2000  12699
---- Iteration:    2500  12699
---- Iteration:    3000  12699
---- Iteration:    3500  12699
---- Iteration:    4000  12699
---- Iteration:    4500  12699
---- Iteration:       0  12699
---- Iteration:     500  12699
---- Iteration:    1000  12699
---- Iteration:    1500  12699
---- Iteration:    2000  12699
---- Iteration:    2500  12699
---- Iteration:    3000  12699
---- Iteration:    3500  12699
---- Iteration:    4000  12699
---- Iteration:    4500  12699
Feasible solution found

