- Starting heuristic -
TSP  Iteration:       0   1736
---- Iteration:       0   1736
TSP  Iteration:      18   1714
TSP  Iteration:      19   1695
---- Iteration:     500   1695
---- Iteration:    1000   1695
---- Iteration:    1500   1695
---- Iteration:    2000   1695
---- Iteration:    2500   1695
---- Iteration:    3000   1695
---- Iteration:    3500   1695
---- Iteration:    4000   1695
---- Iteration:    4500   1695
---- Iteration:       0   1695
TSP  Iteration:       4   1682
---- Iteration:     500   1682
---- Iteration:    1000   1682
---- Iteration:    1500   1682
---- Iteration:    2000   1682
---- Iteration:    2500   1682
---- Iteration:    3000   1682
---- Iteration:    3500   1682
---- Iteration:    4000   1682
---- Iteration:    4500   1682
Feasible solution found

