- Starting heuristic -
TSP  Iteration:       0   2917
---- Iteration:       0   2917
TSP  Iteration:       3   2893
TSP  Iteration:      18   2850
TSP  Iteration:      19   2835
TSP  Iteration:      20   2824
TSP  Iteration:      22   2822
---- Iteration:     500   2822
---- Iteration:    1000   2822
---- Iteration:    1500   2822
---- Iteration:    2000   2822
---- Iteration:    2500   2822
---- Iteration:    3000   2822
---- Iteration:    3500   2822
---- Iteration:    4000   2822
---- Iteration:    4500   2822
---- Iteration:       0   2822
TSP  Iteration:       4   2784
---- Iteration:     500   2784
---- Iteration:    1000   2784
---- Iteration:    1500   2784
---- Iteration:    2000   2784
---- Iteration:    2500   2784
---- Iteration:    3000   2784
---- Iteration:    3500   2784
---- Iteration:    4000   2784
---- Iteration:    4500   2784
Feasible solution found

