- Starting heuristic -
TSP  Iteration:       0   2711
---- Iteration:       0   2711
TSP  Iteration:       4   2620
---- Iteration:     500   2620
---- Iteration:    1000   2620
---- Iteration:    1500   2620
---- Iteration:    2000   2620
---- Iteration:    2500   2620
---- Iteration:    3000   2620
---- Iteration:    3500   2620
---- Iteration:    4000   2620
---- Iteration:    4500   2620
---- Iteration:       0   2620
---- Iteration:     500   2620
---- Iteration:    1000   2620
---- Iteration:    1500   2620
---- Iteration:    2000   2620
---- Iteration:    2500   2620
---- Iteration:    3000   2620
---- Iteration:    3500   2620
---- Iteration:    4000   2620
---- Iteration:    4500   2620
Feasible solution found

