- Starting heuristic -
TSP  Iteration:       0 140735
---- Iteration:       0 140735
TSP  Iteration:       4 140263
TSP  Iteration:       6 138968
TSP  Iteration:     432 135367
---- Iteration:     500 135367
TSP  Iteration:     928 132616
---- Iteration:    1000 132616
TSP  Iteration:    1199 132127
TSP  Iteration:    1233 131268
TSP  Iteration:    1326 131174
TSP  Iteration:    1429 131010
TSP  Iteration:    1431 129775
---- Iteration:    1500 129775
TSP  Iteration:    1621 129341
---- Iteration:    2000 129341
TSP  Iteration:    2336 127791
---- Iteration:    2500 127791
---- Iteration:    3000 127791
---- Iteration:    3500 127791
---- Iteration:    4000 127791
---- Iteration:    4500 127791
TSP  Iteration:    4662 127478
---- Iteration:       0 127478
---- Iteration:     500 127478
---- Iteration:    1000 127478
---- Iteration:    1500 127478
---- Iteration:    2000 127478
---- Iteration:    2500 127478
---- Iteration:    3000 127478
---- Iteration:    3500 127478
---- Iteration:    4000 127478
---- Iteration:    4500 127478
Feasible solution found

