- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      38   7554
TSP  Iteration:     378   7023
---- Iteration:     500   7023
---- Iteration:    1000   7023
---- Iteration:    1500   7023
---- Iteration:    2000   7023
---- Iteration:    2500   7023
---- Iteration:    3000   7023
---- Iteration:    3500   7023
---- Iteration:    4000   7023
---- Iteration:    4500   7023
---- Iteration:       0   7023
---- Iteration:     500   7023
---- Iteration:    1000   7023
---- Iteration:    1500   7023
---- Iteration:    2000   7023
---- Iteration:    2500   7023
---- Iteration:    3000   7023
---- Iteration:    3500   7023
---- Iteration:    4000   7023
---- Iteration:    4500   7023
Feasible solution found

