- Starting heuristic -
---- Iteration:       0 INFEAS
TSP  Iteration:      21   5538
TSP  Iteration:      86   5485
TSP  Iteration:     117   5417
TSP  Iteration:     248   5394
TSP  Iteration:     298   5321
---- Iteration:     500   5321
TSP  Iteration:     554   5305
---- Iteration:    1000   5305
---- Iteration:    1500   5305
TSP  Iteration:    1616   5238
TSP  Iteration:    1846   5155
---- Iteration:    2000   5155
TSP  Iteration:    2128   5065
---- Iteration:    2500   5065
---- Iteration:    3000   5065
---- Iteration:    3500   5065
---- Iteration:    4000   5065
---- Iteration:    4500   5065
---- Iteration:       0   5065
TSP  Iteration:     462   5058
---- Iteration:     500   5058
---- Iteration:    1000   5058
TSP  Iteration:    1063   4925
TSP  Iteration:    1345   4895
TSP  Iteration:    1444   4844
---- Iteration:    1500   4844
TSP  Iteration:    1561   4797
---- Iteration:    2000   4797
---- Iteration:    2500   4797
---- Iteration:    3000   4797
---- Iteration:    3500   4797
---- Iteration:    4000   4797
---- Iteration:    4500   4797
Feasible solution found

