- Starting heuristic -
TSP  Iteration:       0   5886
---- Iteration:       0   5886
TSP  Iteration:       1   5657
---- Iteration:     500   5657
---- Iteration:    1000   5657
---- Iteration:    1500   5657
---- Iteration:    2000   5657
---- Iteration:    2500   5657
---- Iteration:    3000   5657
---- Iteration:    3500   5657
---- Iteration:    4000   5657
---- Iteration:    4500   5657
---- Iteration:       0   5657
---- Iteration:     500   5657
---- Iteration:    1000   5657
---- Iteration:    1500   5657
---- Iteration:    2000   5657
---- Iteration:    2500   5657
---- Iteration:    3000   5657
---- Iteration:    3500   5657
---- Iteration:    4000   5657
---- Iteration:    4500   5657
Feasible solution found

