- Starting heuristic -
TSP  Iteration:       0   6222
---- Iteration:       0   6222
TSP  Iteration:       1   6085
---- Iteration:     500   6085
---- Iteration:    1000   6085
---- Iteration:    1500   6085
---- Iteration:    2000   6085
---- Iteration:    2500   6085
---- Iteration:    3000   6085
---- Iteration:    3500   6085
---- Iteration:    4000   6085
---- Iteration:    4500   6085
---- Iteration:       0   6085
---- Iteration:     500   6085
---- Iteration:    1000   6085
---- Iteration:    1500   6085
---- Iteration:    2000   6085
---- Iteration:    2500   6085
---- Iteration:    3000   6085
---- Iteration:    3500   6085
---- Iteration:    4000   6085
---- Iteration:    4500   6085
Feasible solution found

