- Starting heuristic -
TSP  Iteration:       0   3386
---- Iteration:       0   3386
TSP  Iteration:       4   3186
---- Iteration:     500   3186
---- Iteration:    1000   3186
---- Iteration:    1500   3186
---- Iteration:    2000   3186
---- Iteration:    2500   3186
---- Iteration:    3000   3186
---- Iteration:    3500   3186
---- Iteration:    4000   3186
---- Iteration:    4500   3186
TSP  Iteration:       0   3179
---- Iteration:       0   3179
TSP  Iteration:       1   3178
TSP  Iteration:       3   3160
---- Iteration:     500   3160
---- Iteration:    1000   3160
---- Iteration:    1500   3160
---- Iteration:    2000   3160
---- Iteration:    2500   3160
---- Iteration:    3000   3160
---- Iteration:    3500   3160
---- Iteration:    4000   3160
---- Iteration:    4500   3160
Feasible solution found

