- Starting heuristic -
TSP  Iteration:       0  35510
---- Iteration:       0  35510
TSP  Iteration:       1  35042
TSP  Iteration:       4  34850
TSP  Iteration:      31  34778
TSP  Iteration:      36  34644
TSP  Iteration:      37  34500
TSP  Iteration:      43  33301
TSP  Iteration:      87  33195
TSP  Iteration:      91  33123
---- Iteration:     500  33123
---- Iteration:    1000  33123
---- Iteration:    1500  33123
---- Iteration:    2000  33123
---- Iteration:    2500  33123
---- Iteration:    3000  33123
---- Iteration:    3500  33123
---- Iteration:    4000  33123
---- Iteration:    4500  33123
---- Iteration:       0  33123
---- Iteration:     500  33123
---- Iteration:    1000  33123
---- Iteration:    1500  33123
---- Iteration:    2000  33123
---- Iteration:    2500  33123
---- Iteration:    3000  33123
---- Iteration:    3500  33123
---- Iteration:    4000  33123
---- Iteration:    4500  33123
Feasible solution found

