- Starting heuristic -
TSP  Iteration:       0 290491
---- Iteration:       0 290491
TSP  Iteration:       1 289898
TSP  Iteration:     356 274904
---- Iteration:     500 274904
---- Iteration:    1000 274904
---- Iteration:    1500 274904
---- Iteration:    2000 274904
---- Iteration:    2500 274904
---- Iteration:    3000 274904
---- Iteration:    3500 274904
---- Iteration:    4000 274904
---- Iteration:    4500 274904
---- Iteration:       0 274904
---- Iteration:     500 274904
---- Iteration:    1000 274904
---- Iteration:    1500 274904
---- Iteration:    2000 274904
---- Iteration:    2500 274904
---- Iteration:    3000 274904
---- Iteration:    3500 274904
---- Iteration:    4000 274904
---- Iteration:    4500 274904
Feasible solution found

