- Starting heuristic -
TSP  Iteration:       0 504975
---- Iteration:       0 504975
TSP  Iteration:       1 503143
TSP  Iteration:       6 487508
TSP  Iteration:      45 487157
TSP  Iteration:     104 485402
TSP  Iteration:     232 485042
TSP  Iteration:     356 479021
TSP  Iteration:     360 469963
---- Iteration:     500 469963
---- Iteration:    1000 469963
---- Iteration:    1500 469963
---- Iteration:    2000 469963
---- Iteration:    2500 469963
---- Iteration:    3000 469963
---- Iteration:    3500 469963
---- Iteration:    4000 469963
---- Iteration:    4500 469963
---- Iteration:       0 469963
TSP  Iteration:     206 466350
---- Iteration:     500 466350
---- Iteration:    1000 466350
---- Iteration:    1500 466350
---- Iteration:    2000 466350
---- Iteration:    2500 466350
---- Iteration:    3000 466350
---- Iteration:    3500 466350
---- Iteration:    4000 466350
---- Iteration:    4500 466350
Feasible solution found

