- Starting heuristic -
TSP  Iteration:       0   1841
---- Iteration:       0   1841
TSP  Iteration:       1   1751
TSP  Iteration:      10   1707
TSP  Iteration:      11   1675
TSP  Iteration:      56   1591
TSP  Iteration:      77   1590
---- Iteration:     500   1590
---- Iteration:    1000   1590
---- Iteration:    1500   1590
---- Iteration:    2000   1590
---- Iteration:    2500   1590
---- Iteration:    3000   1590
---- Iteration:    3500   1590
---- Iteration:    4000   1590
---- Iteration:    4500   1590
---- Iteration:       0   1590
---- Iteration:     500   1590
---- Iteration:    1000   1590
---- Iteration:    1500   1590
---- Iteration:    2000   1590
---- Iteration:    2500   1590
---- Iteration:    3000   1590
---- Iteration:    3500   1590
---- Iteration:    4000   1590
---- Iteration:    4500   1590
Feasible solution found

