- Starting heuristic -
TSP  Iteration:       0   2155
---- Iteration:       0   2155
TSP  Iteration:       1   2061
TSP  Iteration:      10   2048
TSP  Iteration:      11   2021
TSP  Iteration:      14   1995
TSP  Iteration:      16   1983
TSP  Iteration:      19   1976
TSP  Iteration:      56   1968
TSP  Iteration:      58   1955
TSP  Iteration:      77   1952
---- Iteration:     500   1952
---- Iteration:    1000   1952
---- Iteration:    1500   1952
---- Iteration:    2000   1952
---- Iteration:    2500   1952
---- Iteration:    3000   1952
---- Iteration:    3500   1952
---- Iteration:    4000   1952
---- Iteration:    4500   1952
---- Iteration:       0   1952
TSP  Iteration:      65   1950
---- Iteration:     500   1950
---- Iteration:    1000   1950
---- Iteration:    1500   1950
---- Iteration:    2000   1950
---- Iteration:    2500   1950
---- Iteration:    3000   1950
---- Iteration:    3500   1950
---- Iteration:    4000   1950
---- Iteration:    4500   1950
Feasible solution found

