- Starting heuristic -
TSP  Iteration:       0   3216
---- Iteration:       0   3216
TSP  Iteration:      58   2888
TSP  Iteration:      77   2872
---- Iteration:     500   2872
---- Iteration:    1000   2872
---- Iteration:    1500   2872
---- Iteration:    2000   2872
---- Iteration:    2500   2872
---- Iteration:    3000   2872
---- Iteration:    3500   2872
---- Iteration:    4000   2872
---- Iteration:    4500   2872
---- Iteration:       0   2872
---- Iteration:     500   2872
---- Iteration:    1000   2872
---- Iteration:    1500   2872
---- Iteration:    2000   2872
---- Iteration:    2500   2872
---- Iteration:    3000   2872
---- Iteration:    3500   2872
---- Iteration:    4000   2872
---- Iteration:    4500   2872
Feasible solution found

