- Starting heuristic -
TSP  Iteration:       0   5874
---- Iteration:       0   5874
---- Iteration:     500   5874
---- Iteration:    1000   5874
---- Iteration:    1500   5874
---- Iteration:    2000   5874
---- Iteration:    2500   5874
---- Iteration:    3000   5874
---- Iteration:    3500   5874
---- Iteration:    4000   5874
---- Iteration:    4500   5874
---- Iteration:       0   5874
---- Iteration:     500   5874
---- Iteration:    1000   5874
---- Iteration:    1500   5874
---- Iteration:    2000   5874
---- Iteration:    2500   5874
---- Iteration:    3000   5874
---- Iteration:    3500   5874
---- Iteration:    4000   5874
---- Iteration:    4500   5874
Feasible solution found

