- Starting heuristic -
TSP  Iteration:       0  33028
---- Iteration:       0  33028
TSP  Iteration:       1  32735
---- Iteration:     500  32735
---- Iteration:    1000  32735
---- Iteration:    1500  32735
---- Iteration:    2000  32735
---- Iteration:    2500  32735
---- Iteration:    3000  32735
---- Iteration:    3500  32735
---- Iteration:    4000  32735
---- Iteration:    4500  32735
---- Iteration:       0  32735
---- Iteration:     500  32735
---- Iteration:    1000  32735
---- Iteration:    1500  32735
---- Iteration:    2000  32735
---- Iteration:    2500  32735
---- Iteration:    3000  32735
---- Iteration:    3500  32735
---- Iteration:    4000  32735
---- Iteration:    4500  32735
Feasible solution found

