- Starting heuristic -
TSP  Iteration:       0  30524
---- Iteration:       0  30524
---- Iteration:     500  30524
---- Iteration:    1000  30524
---- Iteration:    1500  30524
---- Iteration:    2000  30524
---- Iteration:    2500  30524
---- Iteration:    3000  30524
---- Iteration:    3500  30524
---- Iteration:    4000  30524
---- Iteration:    4500  30524
TSP  Iteration:       0  30449
---- Iteration:       0  30449
---- Iteration:     500  30449
---- Iteration:    1000  30449
---- Iteration:    1500  30449
---- Iteration:    2000  30449
---- Iteration:    2500  30449
---- Iteration:    3000  30449
---- Iteration:    3500  30449
---- Iteration:    4000  30449
---- Iteration:    4500  30449
Feasible solution found

