- Starting heuristic -
TSP  Iteration:       0 115124
---- Iteration:       0 115124
TSP  Iteration:       4 114848
TSP  Iteration:       6 113328
TSP  Iteration:       7 111802
TSP  Iteration:      16 111029
TSP  Iteration:      56 110175
TSP  Iteration:     106 109650
TSP  Iteration:     126 108288
TSP  Iteration:     156 107227
TSP  Iteration:     212 106981
TSP  Iteration:     267 105762
TSP  Iteration:     282 105375
TSP  Iteration:     389 105248
TSP  Iteration:     426 105101
TSP  Iteration:     432 104655
TSP  Iteration:     488 104621
---- Iteration:     500 104621
TSP  Iteration:     554 104397
---- Iteration:       0 104397
TSP  Iteration:     162 104302
TSP  Iteration:     433 103826
---- Iteration:     500 103826
TSP  Iteration:     555 103818
Feasible solution found

